"genre";"country_code";"date";"count";"country_name";"region";"continent"
"Acoustic";"Inconnu";"1992";"1";"Inconnu";"Inconnu";"Inconnu"
"Acoustic";"Inconu";"1982";"1";"Inconnu";"Inconnu";"Inconnu"
"Acoustic";"Inconu";"2011";"1";"Inconnu";"Inconnu";"Inconnu"
"Acoustic";"US";"1995";"1";"USA";"Northern America";"Americas"
"Adult Alternative";"US";"2002";"1";"USA";"Northern America";"Americas"
"Aggrotech";"US";"2008";"1";"USA";"Northern America";"Americas"
"Alternative Country";"US";"1993";"1";"USA";"Northern America";"Americas"
"Alternative Hip Hop";"Inconnu";"2011";"1";"Inconnu";"Inconnu";"Inconnu"
"Alternative Metal";"AU";"2012";"1";"Australie";"Australia and New Zealand";"Oceania"
"Alternative Metal";"DE";"1997";"1";"Allemagne";"Western Europe";"Europe"
"Alternative Metal";"DE";"2008";"1";"Allemagne";"Western Europe";"Europe"
"Alternative Metal";"Inconnu";"1992";"1";"Inconnu";"Inconnu";"Inconnu"
"Alternative Metal";"Inconnu";"1998";"1";"Inconnu";"Inconnu";"Inconnu"
"Alternative Metal";"Inconnu";"2011";"1";"Inconnu";"Inconnu";"Inconnu"
"Alternative Metal";"US";"1991";"1";"USA";"Northern America";"Americas"
"Alternative Metal";"US";"1996";"1";"USA";"Northern America";"Americas"
"Alternative Metal";"US";"2002";"1";"USA";"Northern America";"Americas"
"Alternative Metal";"US";"2005";"1";"USA";"Northern America";"Americas"
"Alternative Metal";"XE";"2010";"1";"Inconnu";"Inconnu";"Inconnu"
"Alternative Rock";"AU";"2002";"1";"Australie";"Australia and New Zealand";"Oceania"
"Alternative Rock";"AU";"2010";"1";"Australie";"Australia and New Zealand";"Oceania"
"Alternative Rock";"CA";"1995";"1";"Canada";"Northern America";"Americas"
"Alternative Rock";"CA";"1997";"1";"Canada";"Northern America";"Americas"
"Alternative Rock";"DE";"1984";"1";"Allemagne";"Western Europe";"Europe"
"Alternative Rock";"DE";"1992";"1";"Allemagne";"Western Europe";"Europe"
"Alternative Rock";"DE";"1998";"1";"Allemagne";"Western Europe";"Europe"
"Alternative Rock";"DE";"2002";"1";"Allemagne";"Western Europe";"Europe"
"Alternative Rock";"DE";"2004";"1";"Allemagne";"Western Europe";"Europe"
"Alternative Rock";"DE";"2008";"1";"Allemagne";"Western Europe";"Europe"
"Alternative Rock";"GB";"1996";"1";"Royaume-Uni de Grande-Bretagne et d'Irlande du Nord";"Northern Europe";"Europe"
"Alternative Rock";"GB";"2000";"1";"Royaume-Uni de Grande-Bretagne et d'Irlande du Nord";"Northern Europe";"Europe"
"Alternative Rock";"GB";"2002";"1";"Royaume-Uni de Grande-Bretagne et d'Irlande du Nord";"Northern Europe";"Europe"
"Alternative Rock";"GB";"2005";"1";"Royaume-Uni de Grande-Bretagne et d'Irlande du Nord";"Northern Europe";"Europe"
"Alternative Rock";"GB";"2011";"1";"Royaume-Uni de Grande-Bretagne et d'Irlande du Nord";"Northern Europe";"Europe"
"Alternative Rock";"Inconnu";"1983";"1";"Inconnu";"Inconnu";"Inconnu"
"Alternative Rock";"Inconnu";"1987";"1";"Inconnu";"Inconnu";"Inconnu"
"Alternative Rock";"Inconnu";"1988";"1";"Inconnu";"Inconnu";"Inconnu"
"Alternative Rock";"Inconnu";"1993";"1";"Inconnu";"Inconnu";"Inconnu"
"Alternative Rock";"Inconnu";"1997";"3";"Inconnu";"Inconnu";"Inconnu"
"Alternative Rock";"Inconnu";"1999";"1";"Inconnu";"Inconnu";"Inconnu"
